DATE,MSPUS
1/1/1963,17800
4/1/1963,18000
7/1/1963,17900
10/1/1963,18500
1/1/1964,18500
4/1/1964,18900
7/1/1964,18900
10/1/1964,19400
1/1/1965,20200
4/1/1965,19800
7/1/1965,20200
10/1/1965,20300
1/1/1966,21000
4/1/1966,22100
7/1/1966,21500
10/1/1966,21400
1/1/1967,22300
4/1/1967,23300
7/1/1967,22500
10/1/1967,22900
1/1/1968,23900
4/1/1968,24900
7/1/1968,24800
10/1/1968,25600
1/1/1969,25700
4/1/1969,25900
7/1/1969,25900
10/1/1969,24900
1/1/1970,23900
4/1/1970,24400
7/1/1970,23000
10/1/1970,22600
1/1/1971,24300
4/1/1971,25800
7/1/1971,25300
10/1/1971,25500
1/1/1972,26200
4/1/1972,26800
7/1/1972,27900
10/1/1972,29200
1/1/1973,30200
4/1/1973,32700
7/1/1973,33500
10/1/1973,34000
1/1/1974,35200
4/1/1974,35600
7/1/1974,36200
10/1/1974,37200
1/1/1975,38100
4/1/1975,39000
7/1/1975,38800
10/1/1975,41200
1/1/1976,42800
4/1/1976,44200
7/1/1976,44400
10/1/1976,45500
1/1/1977,46300
4/1/1977,48900
7/1/1977,48800
10/1/1977,51600
1/1/1978,53000
4/1/1978,55300
7/1/1978,56100
10/1/1978,59000
1/1/1979,60600
4/1/1979,63100
7/1/1979,64700
10/1/1979,62600
1/1/1980,63700
4/1/1980,64000
7/1/1980,64900
10/1/1980,66400
1/1/1981,66800
4/1/1981,69400
7/1/1981,69200
10/1/1981,70400
1/1/1982,66400
4/1/1982,69600
7/1/1982,69300
10/1/1982,71600
1/1/1983,73300
4/1/1983,74900
7/1/1983,77400
10/1/1983,75900
1/1/1984,78200
4/1/1984,80700
7/1/1984,81000
10/1/1984,79900
1/1/1985,82800
4/1/1985,84300
7/1/1985,83200
10/1/1985,86800
1/1/1986,88000
4/1/1986,92100
7/1/1986,93000
10/1/1986,95000
1/1/1987,97900
4/1/1987,103400
7/1/1987,106000
10/1/1987,111500
1/1/1988,110000
4/1/1988,110000
7/1/1988,115000
10/1/1988,113900
1/1/1989,118000
4/1/1989,118900
7/1/1989,120000
10/1/1989,124800
1/1/1990,123900
4/1/1990,126800
7/1/1990,117000
10/1/1990,121500
1/1/1991,120000
4/1/1991,119900
7/1/1991,120000
10/1/1991,120000
1/1/1992,119500
4/1/1992,120000
7/1/1992,120000
10/1/1992,126000
1/1/1993,125000
4/1/1993,127000
7/1/1993,127000
10/1/1993,127000
1/1/1994,130000
4/1/1994,130000
7/1/1994,129700
10/1/1994,132000
1/1/1995,130000
4/1/1995,133900
7/1/1995,132000
10/1/1995,138000
1/1/1996,137000
4/1/1996,139900
7/1/1996,140000
10/1/1996,144100
1/1/1997,145000
4/1/1997,145800
7/1/1997,145000
10/1/1997,144200
1/1/1998,152200
4/1/1998,149500
7/1/1998,153000
10/1/1998,153000
1/1/1999,157400
4/1/1999,158700
7/1/1999,159100
10/1/1999,165300
1/1/2000,165300
4/1/2000,163200
7/1/2000,168800
10/1/2000,172900
1/1/2001,169800
4/1/2001,179000
7/1/2001,172500
10/1/2001,171100
1/1/2002,188700
4/1/2002,187200
7/1/2002,178100
10/1/2002,190100
1/1/2003,186000
4/1/2003,191800
7/1/2003,191900
10/1/2003,198800
1/1/2004,212700
4/1/2004,217600
7/1/2004,213500
10/1/2004,228800
1/1/2005,232500
4/1/2005,233700
7/1/2005,236400
10/1/2005,243600
1/1/2006,247700
4/1/2006,246300
7/1/2006,235600
10/1/2006,245400
1/1/2007,257400
4/1/2007,242200
7/1/2007,241800
10/1/2007,238400
1/1/2008,233900
4/1/2008,235300
7/1/2008,226500
10/1/2008,222500
1/1/2009,208400
4/1/2009,220900
7/1/2009,214300
10/1/2009,219000
1/1/2010,222900
4/1/2010,219500
7/1/2010,224100
10/1/2010,224300
1/1/2011,226900
4/1/2011,228100
7/1/2011,223500
10/1/2011,221100
1/1/2012,238400
4/1/2012,238700
7/1/2012,248800
10/1/2012,251700
1/1/2013,258400
4/1/2013,268100
7/1/2013,264800
10/1/2013,273600
1/1/2014,275200
4/1/2014,288000
7/1/2014,281000
10/1/2014,298900
1/1/2015,289200
4/1/2015,289100
7/1/2015,295800
10/1/2015,302500
1/1/2016,299800
4/1/2016,306000
7/1/2016,303800
10/1/2016,310900
1/1/2017,313100
4/1/2017,318200
7/1/2017,320500
10/1/2017,337900
1/1/2018,331800
4/1/2018,315600
7/1/2018,330900
10/1/2018,322800
1/1/2019,313000
4/1/2019,322500
7/1/2019,318400
10/1/2019,327100
1/1/2020,329000
4/1/2020,322600
7/1/2020,337500
10/1/2020,358700
1/1/2021,369800
4/1/2021,382600
7/1/2021,411200
10/1/2021,423600
1/1/2022,433100
4/1/2022,449300
7/1/2022,468000
10/1/2022,479500
1/1/2023,429000
4/1/2023,418500
7/1/2023,435400
10/1/2023,417700