Date, AQI Value,Main Pollutant,Site Name,Site ID,Source,20-year High (2000-2019),20-year Low (2000-2019),5-year Average (2015-2019),Date of 20-year High,Date of 20-year Low
7/02/2023,70,PM2.5,EAST SYRACUSE,36-067-1015,AQS,140,27,40,7/02/2002,7/02/2013
7/03/2023,46,PM2.5,EAST SYRACUSE,36-067-1015,AQS,119,29,42.8,7/03/2003,7/03/2009
7/04/2023,57,PM2.5,EAST SYRACUSE,36-067-1015,AQS,169,27,43.2,7/04/2003,7/04/2014
7/05/2023,54,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,29,49.8,7/05/2003,7/05/2002
7/06/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,23,48.2,7/06/2010,7/06/2000
7/07/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,142,29,51.8,7/07/2002,7/07/2000
7/08/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,140,22,38,7/08/2010,7/08/2009
7/09/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,87,31,48,7/09/2007,7/09/2017
7/10/2023,29,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,19,44.8,7/10/2007,7/10/2016
7/11/2023,77,Ozone,EAST SYRACUSE,36-067-1015,AQS,101,28,41.4,7/11/2005,7/11/2013
7/12/2023,41,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,21,45.6,7/12/2012,7/12/2001
07/13/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,29,44.8,07/13/2012,07/13/2011
07/14/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,136,25,49.6,07/14/2002,07/14/2001
07/15/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,25,41.2,07/15/2003,07/15/2015
07/16/2023,41,Ozone,FULTON,36-075-0003,AQS,77,30,41.4,07/16/2011,07/16/2016
07/17/2023,121,PM2.5,EAST SYRACUSE,36-067-1015,AQS,164,26,35.8,07/17/2002,07/17/2014
07/18/2023,91,PM2.5,EAST SYRACUSE,36-067-1015,AQS,159,31,39.8,07/18/2002,07/18/2009
07/19/2023,37,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,26,46.2,07/19/2008,07/19/2009
07/20/2023,40,Ozone,FULTON,36-075-0003,AQS,84,31,46.2,07/20/2011,07/20/2007
07/21/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,115,25,43,07/21/2005,07/21/2007
07/22/2023,33,PM2.5,EAST SYRACUSE,36-067-1015,AQS,112,26,40.4,07/22/2002,07/22/2019
07/23/2023,43,PM2.5,EAST SYRACUSE,36-067-1015,AQS,115,27,35.2,07/23/2001,07/23/2007
07/24/2023,42,Ozone,EAST SYRACUSE,36-067-1015,AQS,106,19,30.4,07/24/2001,07/24/2018
07/25/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,17,32.6,07/25/2005,07/25/2017
07/26/2023,72,PM2.5,EAST SYRACUSE,36-067-1015,AQS,100,26,40.2,07/26/2003,07/26/2016
07/27/2023,49,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,22,44.2,07/27/2003,07/27/2000
07/28/2023,56,PM2.5,EAST SYRACUSE,36-067-1015,AQS,84,23,40.8,07/28/2007,07/28/2017
07/29/2023,45,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,18,37.2,07/29/2002,07/29/2014
07/30/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,61,28,37.2,07/30/2005,07/30/2016
07/31/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,27,34.4,07/31/2002,07/31/2016
8/01/2023,30,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,31,36,8/01/2001,8/01/2016
8/02/2023,33,Ozone,EAST SYRACUSE,36-067-1015,AQS,154,30,46,8/02/2001,8/02/2008
8/03/2023,58,PM2.5,EAST SYRACUSE,36-067-1015,AQS,126,19,45,8/03/2007,8/03/2008
8/04/2023,58,PM2.5,EAST SYRACUSE,36-067-1015,AQS,136,24,43.8,8/04/2005,8/04/2013
8/05/2023,53,PM2.5,EAST SYRACUSE,36-067-1015,AQS,71,27,42.2,8/05/2018,8/05/2006
8/06/2023,40,PM2.5,EAST SYRACUSE,36-067-1015,AQS,115,19,36.8,8/06/2001,8/06/2002
8/07/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,129,21,32.8,8/07/2001,8/07/2004
8/08/2023,25,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,23,31.4,8/08/2012,8/08/2015
8/09/2023,48,PM2.5,EAST SYRACUSE,36-067-1015,AQS,122,28,38.2,8/09/2001,8/09/2008
8/10/2023,45,PM2.5,EAST SYRACUSE,36-067-1015,AQS,112,21,39.2,8/10/2002,8/10/2019
8/11/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,182,28,47,8/11/2002,8/11/2000
8/12/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,159,23,37.4,8/12/2002,8/12/2008
08/13/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,126,26,33.4,08/13/2002,08/13/2018
08/14/2023,28,Ozone,EAST SYRACUSE,36-067-1015,AQS,172,22,32.4,08/14/2002,08/14/2013
08/15/2023,18,PM2.5,EAST SYRACUSE,36-067-1015,AQS,104,28,42.2,08/15/2002,08/15/2014
08/16/2023,29,Ozone,FULTON,36-075-0003,AQS,108,26,43.8,08/16/2001,08/16/2006
08/17/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,84,29,43.6,08/17/2009,08/17/2000
08/18/2023,32,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,21,39.4,08/18/2006,08/18/2007
08/19/2023,43,PM2.5,EAST SYRACUSE,36-067-1015,AQS,80,27,38.2,08/19/2001,08/19/2018
08/20/2023,55,PM2.5,EAST SYRACUSE,36-067-1015,AQS,93,17,36.4,08/20/2013,08/20/2007
08/21/2023,49,PM2.5,EAST SYRACUSE,36-067-1015,AQS,108,25,41.4,08/21/2003,08/21/2007
08/22/2023,30,PM2.5,EAST SYRACUSE,36-067-1015,AQS,93,23,34.2,08/22/2002,08/22/2007
08/23/2023,35,PM2.5,EAST SYRACUSE,36-067-1015,AQS,71,19,32.2,08/23/2001,08/23/2014
08/24/2023,34,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,18,33.2,08/24/2012,08/24/2019
08/25/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,25,34,08/25/2012,08/25/2019
08/26/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,76,23,34.8,08/26/2001,08/26/2010
08/27/2023,26,Ozone,EAST SYRACUSE,36-067-1015,AQS,62,17,36.4,08/27/2018,08/27/2015
08/28/2023,26,Ozone,FULTON,36-075-0003,AQS,64,23,40.6,08/28/2010,08/28/2014
08/29/2023,29,Ozone,FULTON,36-075-0003,AQS,108,20,37.2,08/29/2007,08/29/2011
08/30/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,97,22,36.4,08/30/2010,08/30/2004
08/31/2023,26,Ozone,EAST SYRACUSE,36-067-1015,AQS,126,22,36.8,08/31/2010,08/31/2018
9/01/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,90,17,33.8,9/01/2010,9/01/2016
9/02/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,22,37,9/02/2010,9/02/2016
9/03/2023,48,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,17,39.8,9/03/2010,9/03/2013
9/04/2023,48,Ozone,EAST SYRACUSE,36-067-1015,AQS,74,21,39,9/04/2004,9/04/2000
9/05/2023,46,Ozone,EAST SYRACUSE,36-067-1015,AQS,71,21,41,9/05/2008,9/05/2006
9/06/2023,45,Ozone,EAST SYRACUSE,36-067-1015,AQS,108,26,42.8,9/06/2007,9/06/2011
9/07/2023,39,Ozone,EAST SYRACUSE,36-067-1015,AQS,122,24,39,9/07/2007,9/07/2008
9/08/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,143,20,32.8,9/08/2002,9/08/2017
9/09/2023,17,Ozone,EAST SYRACUSE,36-067-1015,AQS,172,18,28,9/09/2002,9/09/2010
9/10/2023,18,Ozone,FULTON,36-075-0003,AQS,151,16,30.4,9/10/2002,9/10/2018
9/11/2023,19,Ozone,EAST SYRACUSE,36-067-1015,AQS,58,22,33,9/11/2000,9/11/2018
9/12/2023,39,Ozone,EAST SYRACUSE,36-067-1015,AQS,119,25,29.6,9/12/2005,9/12/2014
09/13/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,16,33.2,09/13/2012,09/13/2013
09/14/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,119,21,31,09/14/2005,09/14/2013
09/15/2023,26,Ozone,EAST SYRACUSE,36-067-1015,AQS,51,21,36.4,09/15/2015,09/15/2007
09/16/2023,31,Ozone,FULTON,36-075-0003,AQS,87,22,47.8,09/16/2015,09/16/2000
09/17/2023,34,Ozone,FULTON,36-075-0003,AQS,50,25,36.2,09/17/2012,09/17/2009
09/18/2023,37,Ozone,EAST SYRACUSE,36-067-1015,AQS,77,24,42.6,09/18/2015,09/18/2008
09/19/2023,34,Ozone,EAST SYRACUSE,36-067-1015,AQS,93,22,38.2,09/19/2001,09/19/2018
09/20/2023,33,Ozone,EAST SYRACUSE,36-067-1015,AQS,122,24,33.8,09/20/2000,09/20/2006
09/21/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,80,26,37.2,09/21/2007,09/21/2015
09/22/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,112,17,41.2,09/22/2004,09/22/2014
09/23/2023,31,PM2.5,EAST SYRACUSE,36-067-1015,AQS,46,18,35,09/23/2004,09/23/2016
09/24/2023,41,PM2.5,EAST SYRACUSE,36-067-1015,AQS,90,21,32.8,09/24/2010,09/24/2019
09/25/2023,46,PM2.5,EAST SYRACUSE,36-067-1015,AQS,80,20,35.6,09/25/2007,09/25/2009
09/26/2023,51,PM2.5,EAST SYRACUSE,36-067-1015,AQS,58,16,34.8,09/26/2007,09/26/2000
09/27/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,80,19,44.2,09/27/2017,09/27/2001
09/28/2023,33,Ozone,FULTON,36-075-0003,AQS,46,16,33.6,09/28/2005,09/28/2012
09/29/2023,40,PM2.5,EAST SYRACUSE,36-067-1015,AQS,46,19,25.8,09/29/2005,09/29/2008
09/30/2023,44,PM2.5,EAST SYRACUSE,36-067-1015,AQS,54,18,23.8,09/30/2002,09/30/2019
10/01/2023,36,PM2.5,EAST SYRACUSE,36-067-1015,AQS,64,17,25.6,10/01/2002,10/01/2018
10/02/2023,40,Ozone,EAST SYRACUSE,36-067-1015,AQS,82,20,25.6,10/02/2002,10/02/2018
10/03/2023,47,Ozone,EAST SYRACUSE,36-067-1015,AQS,100,17,26.8,10/03/2005,10/03/2011
10/04/2023,43,Ozone,EAST SYRACUSE,36-067-1015,AQS,108,17,30,10/04/2005,10/04/2011
10/05/2023,44,Ozone,EAST SYRACUSE,36-067-1015,AQS,108,15,28.6,10/05/2001,10/05/2013
10/06/2023,32,Ozone,EAST SYRACUSE,36-067-1015,AQS,64,23,28.2,10/06/2007,10/06/2018
10/07/2023,24,Ozone,EAST SYRACUSE,36-067-1015,AQS,46,20,32.4,10/07/2017,10/07/2018
10/08/2023,26,Ozone,EAST SYRACUSE,36-067-1015,AQS,51,14,29.4,10/08/2004,10/08/2005
10/09/2023,29,Ozone,FULTON,36-075-0003,AQS,74,14,26.2,10/09/2003,10/09/2005
10/10/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,64,11,28.8,10/10/2011,10/10/2005
10/11/2023,21,Ozone,EAST SYRACUSE,36-067-1015,AQS,67,23,28.6,10/11/2003,10/11/2017
10/12/2023,25,Ozone,EAST SYRACUSE,36-067-1015,AQS,48,18,30.4,10/12/2003,10/12/2017
10/13/2023,18,Ozone,FULTON,36-075-0003,AQS,61,24,33,10/13/2008,10/13/2005
10/14/2023,18,Ozone,FULTON,36-075-0003,AQS,84,16,27,10/14/2000,10/14/2004
10/15/2023,17,Ozone,EAST SYRACUSE,36-067-1015,AQS,60,22,32,10/15/2000,10/15/2009
10/16/2023,19,Ozone,EAST SYRACUSE,36-067-1015,AQS,38,22,32.4,10/16/2019,10/16/2000
10/17/2023,19,Ozone,FULTON,36-075-0003,AQS,42,22,28.8,10/17/2007,10/17/2000
10/18/2023,24,Ozone,EAST SYRACUSE,36-067-1015,AQS,71,23,32.2,10/18/2007,10/18/2004
10/19/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,48,20,34,10/19/2017,10/19/2004
10/20/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,41,16,30.4,10/20/2000,10/20/2004
10/21/2023,20,Ozone,FULTON,36-075-0003,AQS,80,14,34.2,10/21/2001,10/21/2011
10/22/2023,25,Ozone,FULTON,36-075-0003,AQS,74,18,32.4,10/22/2007,10/22/2016
10/23/2023,29,Ozone,FULTON,36-075-0003,AQS,45,18,32.2,10/23/2001,10/23/2012
10/24/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,73,15,28.8,10/24/2000,10/24/2005
10/25/2023,39,Ozone,EAST SYRACUSE,36-067-1015,AQS,55,21,29.2,10/25/2014,10/25/2004
10/26/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,46,21,30.6,10/26/2019,10/26/2015
10/27/2023,38,PM2.5,EAST SYRACUSE,36-067-1015,AQS,88,21,26.6,10/27/2000,10/27/2016
10/28/2023,28,Ozone,EAST SYRACUSE,36-067-1015,AQS,44,12,28.2,10/28/2017,10/28/2012
10/29/2023,15,Ozone,FULTON,36-075-0003,AQS,36,15,30,10/29/2019,10/29/2009
10/30/2023,25,Ozone,FULTON,36-075-0003,AQS,58,18,30.8,10/30/2004,10/30/2014
10/31/2023,24,Ozone,FULTON,36-075-0003,AQS,55,14,25.2,10/31/2013,10/31/2012
11/01/2023,24,Ozone,FULTON,36-075-0003,AQS,49,19,26.4,11/01/2001,11/01/2017
11/02/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,55,19,35,11/02/2016,11/02/2004
11/03/2023,38,Ozone,EAST SYRACUSE,36-067-1015,AQS,43,14,32.8,11/03/2016,11/03/2003
11/04/2023,37,Ozone,FULTON,36-075-0003,AQS,52,20,27.6,11/04/2002,11/04/2003
11/05/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,72,19,28.2,11/05/2008,11/05/2018
11/06/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,51,21,27.8,11/06/2005,11/06/2009
11/07/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,49,22,26,11/07/2006,11/07/2000
11/08/2023,29,Ozone,FULTON,36-075-0003,AQS,63,20,28.8,11/08/2000,11/08/2018
11/09/2023,27,Ozone,EAST SYRACUSE,36-067-1015,AQS,57,3,26.4,11/09/2009,11/09/2000
11/10/2023,29,Ozone,FULTON,36-075-0003,AQS,51,18,34.2,11/10/2002,11/10/2000
11/11/2023,31,Ozone,FULTON,36-075-0003,AQS,47,20,30.4,11/11/2012,11/11/2000
11/12/2023,31,Ozone,FULTON,36-075-0003,AQS,45,17,29.8,11/12/2012,11/12/2006
11/13/2023,25,PM2.5,EAST SYRACUSE,36-067-1015,AQS,55,13,35.6,11/13/2017,11/13/2000
11/14/2023,20,Ozone,FULTON,36-075-0003,AQS,62,18,36.2,11/14/2000,11/14/2006
11/15/2023,24,Ozone,EAST SYRACUSE,36-067-1015,AQS,85,22,36.2,11/15/2001,11/15/2008
11/16/2023,41,Ozone,EAST SYRACUSE,36-067-1015,AQS,58,19,36,11/16/2016,11/16/2003
11/17/2023,59,PM2.5,EAST SYRACUSE,36-067-1015,AQS,73,23,31.6,11/17/2003,11/17/2015
11/18/2023,28,Ozone,FULTON,36-075-0003,AQS,54,9,33.2,11/18/2001,11/18/2004
11/19/2023,28,Ozone,FULTON,36-075-0003,AQS,48,19,35.8,11/19/2001,11/19/2000
11/20/2023,29,Ozone,FULTON,36-075-0003,AQS,53,16,34,11/20/2012,11/20/2002
11/21/2023,25,Ozone,EAST SYRACUSE,36-067-1015,AQS,57,13,36.6,11/21/2009,11/21/2004
11/22/2023,22,Ozone,EAST SYRACUSE,36-067-1015,AQS,60,15,31.8,11/22/2002,11/22/2001
11/23/2023,31,Ozone,FULTON,36-075-0003,AQS,50,22,32.2,11/23/2003,11/23/2001
11/24/2023,34,Ozone,FULTON,36-075-0003,AQS,52,18,35.4,11/24/2001,11/24/2002
11/25/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,59,21,38,11/25/2019,11/25/2009
11/26/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,52,16,33.2,11/26/2000,11/26/2002
11/27/2023,29,Ozone,FULTON,36-075-0003,AQS,47,18,31.6,11/27/2019,11/27/2018
11/28/2023,31,Ozone,FULTON,36-075-0003,AQS,40,14,28.6,11/28/2002,11/28/2001
11/29/2023,29,Ozone,FULTON,36-075-0003,AQS,39,11,28.8,11/29/2011,11/29/2001
11/30/2023,36,Ozone,EAST SYRACUSE,36-067-1015,AQS,42,13,28,11/30/2001,11/30/2004
12/01/2023,35,Ozone,EAST SYRACUSE,36-067-1015,AQS,56,18,28,12/01/2002,12/01/2005
12/02/2023,55,PM2.5,EAST SYRACUSE,36-067-1015,AQS,57,7,23.6,12/02/2012,12/02/2013
12/03/2023,23,Ozone,EAST SYRACUSE,36-067-1015,AQS,67,19,32.4,12/03/2013,12/03/2012
12/04/2023,25,Ozone,FULTON,36-075-0003,AQS,62,15,38.8,12/04/2017,12/04/2013
12/05/2023,24,Ozone,EAST SYRACUSE,36-067-1015,AQS,53,18,31.2,12/05/2015,12/05/2014
12/06/2023,25,Ozone,FULTON,36-075-0003,AQS,54,20,31.4,12/06/2005,12/06/2008
12/07/2023,30,PM2.5,EAST SYRACUSE,36-067-1015,AQS,56,19,29.6,12/07/2002,12/07/2012
12/08/2023,44,PM2.5,EAST SYRACUSE,36-067-1015,AQS,48,24,28.8,12/08/2007,12/08/2004
12/09/2023,33,Ozone,EAST SYRACUSE,36-067-1015,AQS,54,17,36.2,12/09/2015,12/09/2019
12/10/2023,34,PM2.5,EAST SYRACUSE,36-067-1015,AQS,58,15,34.4,12/10/2002,12/10/2019
12/11/2023,31,Ozone,FULTON,36-075-0003,AQS,76,9,35.4,12/11/2000,12/11/2001
12/12/2023,29,Ozone,EAST SYRACUSE,36-067-1015,AQS,68,21,36,12/12/2018,12/12/2006
12/13/2023,35,Ozone,FULTON,36-075-0003,AQS,67,15,37.6,12/13/2002,12/13/2011
12/14/2023,31,Ozone,FULTON,36-075-0003,AQS,67,19,32.2,12/14/2011,12/14/2001
12/15/2023,38,PM2.5,EAST SYRACUSE,36-067-1015,AQS,59,15,34.8,12/15/2018,12/15/2014
12/16/2023,51,PM2.5,EAST SYRACUSE,36-067-1015,AQS,46,19,30.2,12/16/2014,12/16/2015
12/17/2023,31,Ozone,EAST SYRACUSE,36-067-1015,AQS,49,18,31.4,12/17/2008,12/17/2015
12/18/2023,25,Ozone,EAST SYRACUSE,36-067-1015,AQS,76,22,34.2,12/18/2005,12/18/2004
12/19/2023,33,Ozone,FULTON,36-075-0003,AQS,58,14,29.6,12/19/2002,12/19/2000
12/20/2023,30,PM2.5,EAST SYRACUSE,36-067-1015,AQS,71,22,33.4,12/20/2007,12/20/2005
12/21/2023,29,Ozone,FULTON,36-075-0003,AQS,59,19,37.4,12/21/2019,12/21/2005
12/22/2023,26,PM2.5,EAST SYRACUSE,36-067-1015,AQS,61,13,39.8,12/22/2019,12/22/2013
12/23/2023,38,PM2.5,EAST SYRACUSE,36-067-1015,AQS,53,21,33.8,12/23/2000,12/23/2005
12/24/2023,58,PM2.5,EAST SYRACUSE,36-067-1015,AQS,107,27,30.6,12/24/2005,12/24/2003
12/25/2023,52,PM2.5,EAST SYRACUSE,36-067-1015,AQS,44,17,32.8,12/25/2019,12/25/2007
12/26/2023,48,PM2.5,EAST SYRACUSE,36-067-1015,AQS,56,21,36,12/26/2007,12/26/2015
12/27/2023,23,PM2.5,EAST SYRACUSE,36-067-1015,AQS,57,19,34.4,12/27/2019,12/27/2008
12/28/2023,25,Ozone,FULTON,36-075-0003,AQS,62,16,35.6,12/28/2002,12/28/2006
12/29/2023,22,PM2.5,EAST SYRACUSE,36-067-1015,AQS,65,20,34.8,12/29/2004,12/29/2005
12/30/2023,26,Ozone,FULTON,36-075-0003,AQS,52,7,25.8,12/30/2017,12/30/2019
12/31/2023,25,Ozone,FULTON,36-075-0003,AQS,62,13,26.2,12/31/2002,12/31/2019
